"lang"
{
	"Language"		"English"
	"Tokens"
	{		
		"addon_game_name"			"Barracks Master (Beta)"
		
		//---------------------------------------------------------------------------------------------------------------------------------
		//Barracks Master
		//---------------------------------------------------------------------------------------------------------------------------------
		

		//-------------------
		//Updates
		//-------------------
"bm_updates_title"	"Updates"

"bm_updates_text"	"
----- Nov 28:
• V1.1 released! Creep count can now be increased at all barracks. Visit the main page for the full patch notes.
• **We are hosting our first Barracks Master Amateur Tournament on Dec 5th** The tournament is open to everyone worldwide! First come first serve. Visit the main page for the link to sign up.

----- Nov 27:
• Medusa added: Spawnable at Portal of Heroes.

----- Nov 27:
• Players now start with 3x Clarities
• Fixed bug causing Thunderhide to be spell immune.
• Library of Spells cost reworked from 500gold/500lumber to 600gold/400lumber.
• Techies mana cost reduced from 170 to 130.
• Bashlord research time decreased from 150 to 110sec.
• Corrupted Blade research time decreased from 150 to 110sec.
• Health Vial research time decreased from 120 to 90sec.
• Health Vial for Melee lumber cost increased from 125 to 200.
• Health Vial for Ranged lumber cost increased from 75 to 120.
• Ancient Barracks model size reduced slightly.
• Siege Barracks model size reduced slightly.

----- Nov 27:
• Russian tooltips update.
"

"bm_contact_text"	"
Have an idea and want to contribute?
Send your suggestions to thenewmetadota@gmail.com."


		//-------------------
		//Builders
		//-------------------
		"npc_dota_hero_axe"                                                    				"Barracks Master"
		"npc_dota_hero_sven"                                                    			"Barracks Master"
		"npc_dota_hero_templar_assassin"                                                    "Barracks Master"
		"npc_dota_hero_venomancer"                                                    		"Barracks Master"


		//-------------------
		//Creeps
		//-------------------
		"creep_skeleton"                                                                    "Skeleton Creep"
		"creep_melee"                                                                     	"Melee Creep"
		"creep_ranged"                                                                    	"Ranged Creep"
		"creep_siege"                                                                     	"Siege Creep"
		"creep_air"                                                                     	"Air Creep"
		"creep_ancient1"                                                                    "Granite Golem"
		"creep_ancient2"                                                                    "Thunderhide"
		"creep_ancient3"                                                                    "Black Dragon"
		"lumberjack"																		"Lumberjack"


		//-------------------
		//Scouts
		//-------------------
		"scout_boar"                                                                      	"Boar Scout"
		"scout_hawk"                                                                      	"Hawk Scout"
		"scout_techies"                                                                     "Techies Scout"		


		//-------------------
		//Heroes
		//-------------------
		"hero_vengeful"																		"Vengeful Spirit"
		"hero_nevermore"																	"Shadow Fiend"
		"hero_beastmaster"																	"Beastmaster"


		//-------------------
		//Buildings
		//-------------------
		"bm_skeleton_barracks"                                                              "Skeleton Barracks"
		"DOTA_Tooltip_ability_build_bm_skeleton_barracks"                        			"Skeleton Barracks"		
		"DOTA_Tooltip_ability_build_bm_skeleton_barracks_Description"                       "Spawns Skeleton Creeps. Skeleton creeps have very low HP but do a moderate amount of damage. It can be upgraded to further boost its damage."
		"DOTA_Tooltip_ability_build_bm_skeleton_barracks_build_time"                        "<font color='#057aff'>BUILD TIME</font>:"
		"DOTA_Tooltip_ability_build_bm_skeleton_barracks_gold_cost"                         "<font color='#fff22e'>GOLD COST</font>:"


		"bm_melee_barracks"                                                               	"Melee Barracks"
		"DOTA_Tooltip_ability_build_bm_melee_barracks"                        				"Melee Barracks"		
		"DOTA_Tooltip_ability_build_bm_melee_barracks_Description"                        	"Spawns Melee Creeps. With a relatively high amount of HP and low damage, the Melee Creep primarily serves a tank. However, it can be upgraded to boost its stats to turn it into a considerable force."
		"DOTA_Tooltip_ability_build_bm_melee_barracks_build_time"                         	"<font color='#057aff'>BUILD TIME</font>:"
		"DOTA_Tooltip_ability_build_bm_melee_barracks_gold_cost"                          	"<font color='#fff22e'>GOLD COST</font>:"


		"bm_ranged_barracks"                                                               	"Ranged Barracks"
		"DOTA_Tooltip_ability_build_bm_ranged_barracks"                        				"Ranged Barracks"		
		"DOTA_Tooltip_ability_build_bm_ranged_barracks_Description"                       	"Spawns Ranged Creeps. Unlike its Melee counterpart, the Ranged Creep does not have much HP but does slightly more damage. It too can be upgraded to boost its stats for increased potency."
		"DOTA_Tooltip_ability_build_bm_ranged_barracks_build_time"                        	"<font color='#057aff'>BUILD TIME</font>:"
		"DOTA_Tooltip_ability_build_bm_ranged_barracks_gold_cost"                         	"<font color='#fff22e'>GOLD COST</font>:"


		"bm_lumber_yard"                                                               		"The Stump"
		"DOTA_Tooltip_ability_build_bm_lumber_yard"                        					"The Stump"		
		"DOTA_Tooltip_ability_build_bm_lumber_yard_Description"                       		"Enables harvesting of lumber. The Stump is your single source of inexhaustible lumber. Unlocks Living Armor."
		"DOTA_Tooltip_ability_build_bm_lumber_yard_build_time"                        		"<font color='#057aff'>BUILD TIME</font>:"
		"DOTA_Tooltip_ability_build_bm_lumber_yard_gold_cost"                         		"<font color='#fff22e'>GOLD COST</font>:"


		"bm_siege_barracks"                                                               	"Siege Barracks"
		"DOTA_Tooltip_ability_build_bm_siege_barracks"                        				"Siege Barracks"
		"DOTA_Tooltip_ability_build_bm_siege_barracks_Description"                       	"Spawns Siege Creeps. A relentless artillery unit, the Siege Creep stands at a distance to provide constant bombardment. Its weapon can be upgraded to do splash damage."
		"DOTA_Tooltip_ability_build_bm_siege_barracks_build_time"                        	"<font color='#057aff'>BUILD TIME</font>:"
		"DOTA_Tooltip_ability_build_bm_siege_barracks_gold_cost"                         	"<font color='#fff22e'>GOLD COST</font>:"
		"DOTA_Tooltip_ability_build_bm_siege_barracks_lumber_cost"                       	"<font color='#28fe77'>LUMBER COST</font>:"

		"DOTA_Tooltip_ability_build_bm_siege_barracks_disabled"                           	"Siege Barracks"
		"DOTA_Tooltip_ability_build_bm_siege_barracks_disabled_Description"               	"Spawns Siege Creeps. A relentless artillery unit, the Siege Creep stands at a distance to provide constant bombardment. Its weapon can be upgraded to do splash damaage.\n<b><font color='#eedd44'>Requires:\n - Melee Barracks\n - Ranged Barracks</font></b>"


		"bm_ancient_barracks"                                                               "Ancient Barracks"
		"DOTA_Tooltip_ability_build_bm_ancient_barracks"                        			"Ancient Barracks"
		"DOTA_Tooltip_ability_build_bm_ancient_barracks_Description"                       	"Spawns Ancient Creeps. Ancients have high HP and damage. They also provide a variety of auras that can drastically change the tide of the battle. The Barracks can be toggled to spawn different Ancients."
		"DOTA_Tooltip_ability_build_bm_ancient_barracks_build_time"                        	"<font color='#057aff'>BUILD TIME</font>:"
		"DOTA_Tooltip_ability_build_bm_ancient_barracks_gold_cost"                         	"<font color='#fff22e'>GOLD COST</font>:"
		"DOTA_Tooltip_ability_build_bm_ancient_barracks_lumber_cost"                       	"<font color='#28fe77'>LUMBER COST</font>:"

		"DOTA_Tooltip_ability_build_bm_ancient_barracks_disabled"                           "Ancient Barracks"
		"DOTA_Tooltip_ability_build_bm_ancient_barracks_disabled_Description"               "Spawns Ancient Creeps. Ancients have high HP and damage. They also provide a variety of auras that can drastically change the tide of the battle. The Barracks can be toggled to spawn different Ancients.\n<b><font color='#eedd44'>Requires:\n - Siege Barracks\n - Tech Lab</font></b>"


		"bm_tech_lab"                                                               		"Tech Lab"
		"DOTA_Tooltip_ability_build_bm_tech_lab"                        					"Tech Lab"
		"DOTA_Tooltip_ability_build_bm_tech_lab_Description"                       			"Enables the construction of higher tiered buildings and unlocks the Techies Scout."
		"DOTA_Tooltip_ability_build_bm_tech_lab_build_time"                        			"<font color='#057aff'>BUILD TIME</font>:"
		"DOTA_Tooltip_ability_build_bm_tech_lab_gold_cost"                         			"<font color='#fff22e'>GOLD COST</font>:"
		"DOTA_Tooltip_ability_build_bm_tech_lab_lumber_cost"                       			"<font color='#28fe77'>LUMBER COST</font>:"

		"DOTA_Tooltip_ability_build_bm_tech_lab_disabled"                           		"Tech Lab"
		"DOTA_Tooltip_ability_build_bm_tech_lab_disabled_Description"               		"Enables the construction of higher tiered buildings and unlocks the Techies Scout.\n<b><font color='#eedd44'>Requires:\n - The Stump</font></b>\n"


		"bm_aviation_sanctuary"                                                             "Air Barracks"
		"DOTA_Tooltip_ability_build_bm_aviation_sanctuary"                        			"Air Barracks"
		"DOTA_Tooltip_ability_build_bm_aviation_sanctuary_Description"                      "Spawns Air Creeps and unlocks the Hawk Scout. Air Creeps have moderate HP and damage. They are however, the only units in the game that can be upgraded with Evasion."
		"DOTA_Tooltip_ability_build_bm_aviation_sanctuary_build_time"                       "<font color='#057aff'>BUILD TIME</font>:"
		"DOTA_Tooltip_ability_build_bm_aviation_sanctuary_gold_cost"                        "<font color='#fff22e'>GOLD COST</font>:"
		"DOTA_Tooltip_ability_build_bm_aviation_sanctuary_lumber_cost"                      "<font color='#28fe77'>LUMBER COST</font>:"

		"DOTA_Tooltip_ability_build_bm_aviation_sanctuary_disabled"                         "Aviation Sanctuary"
